,Category,Message
5550,0,"Cool, what time you think you can get here?"
5551,0,Wen did you get so spiritual and deep. That's great
5552,0,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
5554,0,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
5555,0,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x
5556,0,Yes i have. So that's why u texted. Pshew...missing you so much
5557,0,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
5559,0,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
5560,0,Anything lor. Juz both of us lor.
5561,0,Get me out of this dump heap. My mom decided to come to lowes. BORING.
5562,0,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
5563,0,Ard 6 like dat lor.
5564,0,Why don't you wait 'til at least wednesday to see if you get your .
5565,0,Huh y lei...
5566,1,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
5567,1,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
5568,0,Will ü b going to esplanade fr home?
5569,0,"Pity, * was in mood for that. So...any other suggestions?"
5570,0,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
5571,0,Rofl. Its true to its name
